name,city,state,identifier,rating,address,latitude,longitude,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
venetia skate plaza,chula vista,california,chula vista5,1,"1500 Magdalena Ave, Chula Vista, CA 91913",32.6255009,-116.9766023,concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-santa-venetia-street-plaza-san-diego-skateparks.html,,2,
veterans skate plaza,chula vista,california,chula vista6,2,"785 E Palomar St, Chula Vista, CA 91911",32.6148255,-117.0234122,concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/veterans-park-chula-vista-san-diego-skateparks.html,,4,
winding walk skate plaza,chula vista,california,chula vista7,2,"Windingwalk St & Exploration Falls Dr, Chula Vista, CA 91915",32.622376,-116.9560236,concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=winding+walk,,4,
rusch skatepark,citrus heights,california,citrus heights,3,"7801 Auburn Blvd, Citrus Heights, CA 95610",38.7090096,-121.291335,concrete,california skateparks,california skateparks,,,9000,,,,,northwestskater.com,http://www.northwestskater.com/citrusheights.html,,4,
,claremont,california,claremont,2,"1717 N Indian Hill Blvd, Claremont, CA 91711",34.1150003,-117.720759,concrete,purkiss rose,,1998,6am - 10pm,6000,,,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/claremont-skatepark-los-angeles-skateparks.html,,4,
,clearlake,california,clearlake,2,"Uhl Ave & Austin Rd, Clearlake, CA 95422",38.959293,-122.6464239,prefabricated ramps,,,,,,,,,,,,,2,
,cloverdale,california,cloverdale,,,0,0,prefabricated ramps,,,,,,,,,,,,,,
letterman/rotary skatepark,clovis,california,clovis,4,"Villa Ave & W 9th St, Clovis, CA 93612",36.8186946,-119.7135046,concrete,site design,,,8am - 9pm,27000,,,,yes,,,,4,
dateland park,coachella,california,coachella,2,"Medina St & Shady Ln, Coachella, CA 92236",33.6692749,-116.173441,prefabricated ramps,,,,,,,,,,,,,3,
wilson skatepark,compton,california,compton,3,"291 N Rose Ave, Compton, CA 90220",33.8974778,-118.2190765,concrete,california skateparks,california skateparks,,,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/compton-skatepark-los-angeles-skateparks.html,,4,
,concord,california,concord,2,"Cowell Rd & San Miguel Rd, Concord, CA 94518",37.9683442,-122.0311242,concrete,,,,,,,,,,,,,4,
,corning,california,corning,4,"1485 Toomes Ave, Corning, CA 96021",39.921631,-122.191405,concrete,stantec,kendal construction,2013,,22000,,,,,,,,4,
corona city park,corona,california,corona,2,"1001 E 6th St, Corona, CA 92879",33.8745783,-117.5538749,concrete,purkiss rose,,1999,7am - 10pm,10000,,,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/corona-city-skatepark-riverside-county-skateparks.html,,4,
deleo sports park,corona,california,corona6,2,"Santiago Canyon Rd & Sunflower Ln, Corona, CA 92883",33.7450784,-117.4638836,concrete,spohn ranch,spohn ranch,2012,,4000,"listed as temescal skate spot, riverside on CD",,,yes,Spohn Ranch,http://www.spohnranch.com/portfolio/deleo-park-skatepark/,,4,"ledges, rail, gap, quarterpipe, fun box"
santana regional skatepark,corona,california,corona4,2,"2368 Kellogg Ave, Corona, CA 92881",33.8521369,-117.5573859,concrete,purkiss rose,california skateparks,,,11000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/corona-santana-skatepark-riverside-county-skateparks.html,,4,
