name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
maidu skatepark,roseville,california,roseville,2,"Maidu Dr & Rocky Ridge Dr Roseville, CA 95661",concrete & prefabricated ramps,,,,,,check to see if this thing still exists,,,,,,,,"pyramud, rails, ledges"
28th & b skatepark,sacramento,california,sacramento,3,"28Th St & B St Sacramento, CA 95816",wood/masonite,,,,,,,This is an indoor skatepark that costs money to skate.,,,,,,,"bowl, quarterpipes, fun box, rails, metal coping"
robertson skatepark,sacramento,california,sacramento10,2,"Silver Eagle Rd & Norwood Ave Sacramento, CA 95838",prefabricated ramps,,,,,,,,,,,,,,"rails, pyramid, mini-ramp"
robla community skatepark,sacramento,california,sacramento11,2,"625 Bell Ave Sacramento, CA 95838",prefabricated ramps,,,,,,,,,,,,,,"quarterpipe, pyramid, ledge"
warren skatepark,sacramento,california,sacramento12,2,"7420 Vandenberg Dr Sacramento, CA 95820",prefabricated ramps,,,,,,,,,,,,,,"pyramid, quarterpipes, rails ledge, mini ramp"
wild rose skatepark,sacramento,california,sacramento13,,"5200 Kankakee Dr Sacramento, CA 95835",concrete,wormhodt,,2014,,,its new check back for deets,,,,,,,,snakerun
winner's circle skatepark,sacramento,california,sacramento14,2,"2415 Evergreen St Sacramento, CA 95815",prefabricated ramps,,,,,,,,,,,,,,quarterpipes
granite skatepark,sacramento,california,sacramento2,4,"E Cucamonga Ave Sacramento, CA 95814",concrete,california skateparks/wally hollyday,california skateparks/wally hollyday,,,50000,,,,,,,,,
mcclatchy skatepark,sacramento,california,sacramento3,3,"3500 th Ave Sacramento, CA 95817",concrete,spohn ranch,spohn ranch,2014,,7000,,,,,,,,,"rails, ledges, quarterpipes"
tanzanite skatepark,sacramento,california,sacramento4,3,"Tanzanite Ave & Blisted Way Sacramento, CA 95834",concrete,wally hollyday,wally hollyday,2006,,16000,,,,,,,,,"rails, stairs, ledges, bowls"
baer skatepark,sacramento,california,sacramento5,2,"7851 35th Ave Sacramento, CA 95824",prefabricated ramps,,,,,,,,,,,,,,"quarterpipes, pyramid, ledge"
artivio guerrero park,sacramento,california,sacramento6,2,"6000 61st St Sacramento, CA 95824",concrete,spohn ranch,spohn ranch,2014,,3000,,,,,,,,,"curved rails, ledges, manual pad, quarterpipe"
orchard skatepark,sacramento,california,sacramento7,2,"2936 W River Dr Sacramento, CA 95833",prefabricated ramps,,,,,,,,,,,,,,"mini-ramp, pyramid"
regency community skatepark,sacramento,california,sacramento8,2,"5500 Honor Pkwy Sacramento, CA 95835",prefabricated ramps,,,,,,,,,,,,,,"mini-ramp, pyramid"
reichmuth skatepark,sacramento,california,sacramento9,2,"6135 Gloria Dr Sacramento, CA 95831",prefabricated ramps,,,,,,,,,,,,,,"mini-ramp, pyramid"
,salinas,california,salinas,2,"704 Las Casitas Dr Salinas, CA 93906",concrete,wormhoudt inc.,wormhoudt inc.,1999,,15000,,,,,,,,,"quarterpipe, pyramid, rail, ledge"
blair skatepark,san bernardino,california,san bernardino,3,"1424 W Marshall Blvd San Bernardino, CA 92405",concrete,,,,,,,,,,,,,,"bowl, stairs, ledge, rails, pyramid, quarterpipe"
speicher park,san bernardino,california,san bernardino2,1,"1535 Arden Ave San Bernardino, CA 92404",prefabricated ramps,,,,,,,,,,,,,,
society indoor skatepark,san carlos,california,san carlos,2,"850 E San Carlos Ave San Carlos, CA 94070",wood/masonite,,,,Designated session times. Check website for details,,,This is a private skatepark.  It may cost money to skate and a helmet/pads are required,,,,,,,"mini ramp, pyramid, ledges, quarterpipes, metal coping"
,san clemente,california,san clemente3,3,"241 Avenida La Pata San Clemente, CA 92673",concrete,,,,Dawn - Dusk,,,,,,,,,,"quarterpipe, rails, pyramid, ledges, metal coping"
tierrasanta damato skatepark,san diego,california,san diego10,2,"4580 Shields St San Diego, CA 92124",concrete,,,,,,,,,,,,,,"stairs, quarterpipes, ledges"
carmel valley skatepark,san diego,california,san diego2,4,"12778 El Camino Real Carmel Valley San Diego, CA 92130",concrete,site deisgn,,2008,10am - 8pm,13500,,,,yes,,,,,"ledges, stairs, rail, bowl, quarterpipes, banks, metal coping, pool coping"
campland on the bay skatepark,san diego,california,san diego3,3,"2211 Pacific Beach Dr San Diego, CA 92109",concrete,,,,,,,,,,,,,,
salvation army kroc center skatepark,san diego,california,san diego5,3,"6845 University Ave San Diego, CA 92115",wood/masonite,,,,,,,"This is a private, indoor skatepark. It costs money to skate and a helmet/pads are required.",,,,,,,
memorial skatepark,san diego,california,san diego6,3,"702 S 30th St San Diego, CA 92113",concrete,,,,,,,,,,,,,,"quarterpipes, bowl, metal coping, pool coping"
rancho penasquitos,san diego,california,san diego7,2,"Carmel Mountain Rd & Freedport Rd San Diego, CA 92129",concrete,,,,,23000,,,,,,,,,"hips, ledges, pyramids, stairs, rails, quarterpipes, spine, picnic table, metal coping"
washington street,san diego,california,san diego8,5,"W Washington St & Frontage Rd San Diego, CA 92101",concrete,,,,,,,This is a DIY skatepark,,,,,,,
ocean beach skatepark,san diego,california,san diego9,3,"Sunset Cliffs Blvd & Ocean Beach Fwy San Diego, CA 92107",concrete,site design,,2000,,,,,,,,,,,"ledges, banks, hips, rails, quarterpipes, metal coping, pyramids"
mission valley ymca,san diego (clairemont),california,san diego,4,"3401 Clairemont Dr San Diego, CA 92117",concrete & wood/masonite,wally holliday/california skateparks/andy mcdonald,california skateparks,2001,Designated session times. Check with YMCA for details,53000,,This is a private skatepark.  It costs money to skate and a helmet/pads are required  ,,,,,,,"bowls, vert ramp, quarterpipes, rails, ledges, metal coping, pool coping"
charles l lewiss iii memorial skatepark,san diego (paradise hills),california,san diego4,3,"6759 Paradise Valley Rd San Diego, CA 92139",prefabricated ramps,,,,,,,This is a private skatepark available only to those staying at the campground,,,,,,,"mini-ramp, ledges, pyramids, rails, quarterpipes, metal coping"
,san dimas,california,san dimas,2,W Commercial St & S Cataract Ave San Dimas Ca,concrete,purkiss rose,california skateparks,,7am - Dusk,8500,,,,,,,,,"pyramid, ledges, rails, quarterpipe, spine, bowl, metal coping, euro gap"
balboa skatepark,san francisco,california,san francisco,3,"Ocean Ave & San Jose Ave San Francisco, CA 94112",wood/masonite,,,2012,,,,,,,,,,,"bowl, hips, quarterpipes, rail, ledges"
crocker amazon,san francisco,california,san francisco2,3,"1700 Geneva Ave San Francisco, CA 94134",concrete,,,,,,,,,,,,,,"pyramid, bowl, ledges, metal coping"
flower shop,san francisco,california,san francisco3,4,Locals Only,concrete,,,,,,,This is a DIY skatepark,,,,,,,
potrero del sol skatepark,san francisco,california,san francisco4,4,"1361 Potrero Ave San Francisco, CA 94110",concrete,dreamland,dreamland,2009,lights til 9pm,16000,,,,yes,,,,,"bowl, pyramid, quarterpipes, tombstone, rail, ledges, euro-gap, noping, metal coping, pool coping"
soma skatepark,san francisco,california,san francisco5,4,"Duboce Ave & Stevenson St San Francisco, CA 94103",concrete,new line,"trinet construction, inc.",2014,9am - 9pm,,,,,yes,,,,,"rails, ledges, stairs, pyramid, quarterpipes, banks, metal coping"
great oaks,san jose,california,san jose,2,"Snow Dr & Battle Dance St San Jose, CA 95111",concrete,,,,,,,,,,,,,,"rails, ledges, pyramid, quarterpipes, fun box, stairs, metal coping"
lake cunningham regional skatepark,san jose,california,san jose2,4,"2305 S White Rd San Jose, CA 95148",concrete,wormhoudt inc.,california skateparks,2008,,67000,,This skatepark costs money to skate and a helmet/pads are required,,,,,,,"bowls, fullpipe, cradle, pyramids, rails, wallride, rails, stairs, euro-gap, ledges, metal coping, pool coping"
mayfair park,san jose,california,san jose3,3,2039 Kammerer Ave San Jose Ca95116,concrete,site design,,,Dawn - Dusk,10000,,,,,,,,,"stairs, ledges, rails, pyramids, wallride, fun box, quarterpipes, metal coping"
plata arroyo,san jose,california,san jose4,2,"168 N King Rd San Jose, CA 95116",concrete,,,,,,,,,,,,,,"stairs, rails, ledges, pyramids, bowls, quarterpipes, metal coping"
roosevelt park,san jose,california,san jose5,3,"N 21st St & N 20th St San Jose, CA 95116",concrete,,,,,,,,,,,,,,"bowl, ledges, stairs, quarterpipes, euro gap, pool coping, metal coping"
stonegate park,san jose,california,san jose6,3,"Apollo Dr & Gassmann Dr San Jose, CA 95121",concrete,,,,,,,,,,,,,,"quarteripes, pyramid, rail, ledges, metal coping"
thrasher park,san leandro,california,san leandro,2,"W Estudio Ave & Orchard Ave San Leandro, CA 94577",concrete,,,,,,,,,,,,,,"quarteripes, pyramid, ledge, metal coping"
jack holland sr. park,san leandro,california,san leandro2,2,"E 14th St & 163rd Ave San Leandro, CA 94578",concrete,,,2011,,,,,,,,,,,"ledges, stairs, rail, bank, pyramid"
arroyo skate park,san lorenzo,california,san lorenzo,2,"Nielson Ave & Devonwood Way San Lorenzo, CA 94580",prefabricated ramps,,,,,,,,,,,,,,"quarterpipe, stairs, pyramid rails"
santa rosa skatepark,san luis obispo,california,san luis obispo,4,"Montalban St & Oak St San Luis Obispo, CA 93405",concrete,wormhoudt inc.,,2015,,15000,,,,,,,,,"pyramid, banks, stairs, rails, ledges, bowls, metal coping, pool coping"
hollandia park,san marcos,california,san marcos,2,"1 Mission Hills Ct San Marcos, CA 92069",concrete & prefabricated ramps,,,,,,,,,yes,,,,,"pyramid, rails, ledges, quarterpipes, metal coping"
,san mateo,california,san mateo,2,"950 Ocean View San Mateo, CA 94401",concrete,,,,,,,,,,,,,,"ledges, rails, fun box"
channel street,san pedro,california,san pedro,4,"610 W Channel St San Pedro, CA 90731",concrete,,,2004,Dawn - Dusk,,,This is a DIY skatepark,,,,,,,"bowls, pool coping, metal coping"
mcinnis skatepark,san rafael,california,san rafael,3,"285 Smith Ranch Rd San Rafael, CA 94903",concrete,kevin j. thatcher,ghilotti bros.,2004,9am - Dusk,25000,cost $1.6 million,,,,,,,,"bowls, wallrides, rails, ledges, stairs, metal coping"
,san ramon,california,san ramon,,"Bollinger Canyon Rd & Market Pl San Ramon, CA 94583",concrete,purkiss rose,,,,,,,,,,,,,
,sanger,california,sanger,,"Recreation Ave & 7th St Sanger, CA 93657",concrete,wormhoudt inc.,,2010,,20000,,,,,,,,,
santa ana skatepark,santa ana,california,santa ana,,"3000 W Edinger Ave Santa Ana, CA 92704",concrete,,,,7am - Dusk,,,,,,,,,,
skaters point skatepark,santa barbara,california,santa barbara,3,"138 E Cabrillo Blvd Santa Barbara, CA 93101",concrete,,,2000,8am - Dusk,14600,,,,,,,,,
,santa clarita,california,santa clarita,3,"20850 Centre Pointe Pkwy Santa Clarita, CA 91350",concrete,site design,california skateparks,,,40000,,"BMX bike riding is allowed here. As a result, much of the coping on the quarterpipes is damaged.",,,,,,,
derby park,santa cruz,california,santa cruz,4,"508 Woodland Way Santa Cruz, CA 95608",concrete,ken wormhoudt inc.,,1976,Dawn - Dusk,4000,,,,,,,,,
mike fox park skatepark,santa cruz,california,santa cruz2,4,"225 San Lorenzo Blvd Santa Cruz, CA 95060",concrete,wormhoudt inc.,wormhoudt inc.,2007,9am - Dusk,15000,,,,,,,,,
fletcher park,santa maria,california,santa maria,2,"2200 S College Dr Santa Maria, CA 93455",prefabricated ramps,,,,,,,,,,,,,,"miniramp, rails, pyramid, quarterpipes, metal coping"
ymca,santa maria,california,santa maria2,2,"3400 Skyway Dr Santa Maria, CA 93455",prefabricated ramps,,,,,,,This is a private skatepark that costs money to skate and requires a helmet/pads. There are designated session times.,,,,,,,"miniramp, quarterpipes, pyramid, ledges, rails, stairs, metal coping"
one way board shop,santa maria,california,santa maria3,3,"250 Town Center E Santa Maria, CA 93454",indoor ramps,,,2013,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required.",,,,,,,
,santa monica,california,santa monica,,"1401 Olympic Blvd, CA 90404",concrete,california skateparks,california skateparks,2005,,20000,,,,,,,,,
,santa paula,california,santa paula,3,"114 S 10th St Santa Paula, CA 93060",concrete,,,,,,,,,,,,,,"pyramid, bowl, quarterpipes, ledges, rails, stairs, metal coping, pool coping"
,santa rosa,california,santa rosa,2,"1500 Fulton Rd Santa Rosa, CA 95403",concrete,,,,,,,,,,,,,,
,santee,california,santee,3,"10250 Woodglen Vista Dr Santee, CA 92071",concrete,,,,This skatepark has odd hours with designated BMX sessions.  Check with the city for details.,,,,,,,,,,"rails, ledges, stairs, quarterpipes, pyramid, metal coping"
tim brauch memorial skatepark,scotts valley,california,scotts valley,4,361 Kings Village Rd Scotts Valley 95066,concrete,wormhoudt inc.,wormhoudt inc.,2004,7am - Dusk,20000,,,,,,,,,"bowl, ledges, rail, pyramid, banks, pool coping, metal coping"
,sebastopol,california,sebastopol,4,"Laguna Park Way & Flynn St Sebastopol, CA 95472",concrete,wormhoudt inc.,,2008,,15000,,There is a police station nearby and police have been known to give tickets if you don't have a helmet,,,,,,,
berry park,selma,california,selma,,"Whitson & 2nd St Selma, CA 93662",concrete,site design,california skateparks,,,,,,,,,,,,
,shafter,california,shafter,1,"698 E Ash Ave Shafter, CA 93263",prefabricated ramps,,,,,,,,,,,,,,"quarterpipes, pyramid, rails, ledge, metal coping"
,shasta lake,california,shasta lake,,Front St & Grand River Ave Shasta Lake 96019,,,,,,,,,,,,,,,"pyramid, quarterpipes, ledges, metal coping"
skatelab,simi valley,california,simi valley,4,4226 Valley Fair St Simi Valley 93063,wood/masonite,,,,Designated session times. Check with Skatelab for details.,,,"This is a private, indoor skatepark. It costs money to skate and a helmet/pads are required.",,,,,,,"bowl, banks, quarterpipes, ledges, rails, stairs, metal coping"
woodward tahoe,soda springs (tahoe),california,soda springs,3,19749 Boreal Ridge Rd Soda Springs 95728,concrete & wood/masonite,california skateparks,california skateparks,,,15000,,This is a private skatepark that costs money to skate. Check with Woodward for details.,,,,,,,"quarterpipes, rails, ledges, gap, doorway"
,soledad,california,soledad,1,Andalucia Dr & Ticino St Soledad Ca,prefabricated ramps,,,,,,,,,,,,,,
hans christian anderson park,solvang,california,solvang,3,"633 Chalk Hill Rd Solvang, CA 93463",concrete,california skateparks,california skateparks,,,14000,,,,,,,,,
,sonoma,california,sonoma,2,"Main St & Verano Ave Sonoma, CA 95476",concrete,,,,,,,,,,,,,,"bowls, quarterpipes, metal coping, rail, stairs"
,sonora,california,sonora,2,"330 Greenley Rd Sonora, CA 95370",concrete,,,,Dawn - Dusk,,,,,,,,,,"quarterpipes, rails, pyramid, ledges"
,south gate,california,south gate,2,"9520 Hildreth Ave South Gate,, CA 90280",concrete,,,,,,,,,,,,,,"rails, stairs, ledges, quarterpipes, pyramid, spine, metal coping"
bijou skatepark,south lake tahoe,california,south lake tahoe,3,"1201 Al Tahoe Blvd South Lake Tahoe, CA 96150",concrete,,,,,,,,,,,,,,"quarterpipes, pyramid, rail"
skate house skatepark,south lake tahoe,california,south lake tahoe2,,"867 Eloise Ave South Lake Tahoe, CA 96150",wood/masonite,,,,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required.",,,,,,,"bowl, pool coping, metal coping"
,south pasadena,california,south pasadena,2,660 Stoney Dr South Pasadena 91030,prefabricated ramps,,,,This skatepark has odd hours.  Check with the city for details.,,,,,,,,,,"pyramid, rail, mini ramp, quarterpipes, bank"
,st helena,california,st helena,5,"360 Crane Ave Saint Helena, CA 94574",concrete,grindline,grindline,2009,8am - Dusk,18000,,,,,,,,,"bowls, rails, ledges, quarterpipes, metal coping, pool coping"
anderson park,stockton,california,stockton,3,"6137 N El Dorado St Stockton, CA 95207",concrete,,,2000,,,,,,,,,,,
sheldon,sun valley (los angeles),california,sun valley (los angeles),3,"Sheldon St & Remick Ave Sun Valley, CA 91352",concrete,california skateparks,california skateparks,2014,,25000,,,,,,,,,"rails, stairs, ledges, quarterpipes"
,sunnyvale,california,sunnyvale,4,"540 N Fair Oaks Ave Sunnyvale, CA 94085",concrete,wormhoudt inc.,wormhoudt inc.,2003,,18000,,,,,,,,,"stairs, ledge, rails, bowls, metal coping, pool coping"
,taft,california,taft,3,"203 S 10th St Taft, CA 93268",concrete,,,,Dawn - 10pm,12000,,,,yes,,,,,"stairs, ledges, rails, quarterpipes, metal coping"
camp woodward west,tehachapi,california,stallion springs,,"28400 Stallion Springs Dr Tehachapi, CA 93561",concrete,,,,,,,,,,,,,,"rail, quarterpipes, hips, ledges"
ollie mountain,tehachapi,california,tehachapi,2,"490 W D St Tehachapi, CA 93561",prefabricated ramps,,,,This skatepark has odd hours.  Check with the city for details,11000,,,,,,,,,"pyramid, rails, ledges, mini ramp, quarterpipes, metal coping"
ronald reagan sports park,temecula,california,temecula,2,"42569 Margarita Rd Temecula, CA 92592",concrete,,,,This skatepark has odd hours.,,,This skatepark costs money to skate (more if you are from out of town) and requires a helmet/pads.,,,,,,,"stairs, ledges, pyramids, hips, quarterpipes, metal coping"
,templeton,california,templeton,3,"S Main St & 6th St Templeton, CA 93465",concrete,,,,8am - Dusk,,,,,,,,,,"ledges, pyramids, quarterpipes, quarterpipes, bowl, rail, metal coping"
el pescadero skate track,tracy,california,tracy,2,"2399 Parker Ave Tracy, CA 95376",concrete,,,,,,,,,,,,,,"pyramid, ledges, quarterpipes, metal cpoing"
,truckee,california,truckee,3,"10695 Brockway Rd Truckee, CA 96161",concrete,,,,,,,,,,,,,,"bowl, pyramids, ledges, metal coping"
,tulare,california,tulare,4,"85 W Tulare Ave Tulare, CA 93274",concrete,wally holliday,california skateparks,2008,,25000,,,,,,,,,"rails, ledges, stairs, pyramid, bowls, metal coping"
,twentynine palms,california,twentynine palms,2,"74362 Joe Davis Dr Twentynine Palms, CA 92277",concrete & prefabricated ramps,,,,,,,,,,,,,,"rails, stairs, ledges, pyramids, quarterpipes"
,ukiah,california,ukiah,4,"1041 Low Gap Rd Ukiah, CA 95482",concrete,wormhoudt inc.,wormhoudt inc.,2011,,20000,,,,,,,,,"stairs, rails, ledges, banks, pyramid, quarterpipes, bowls, metal coping, pool coping"
,union city,california,union city,2,"Arizona St & Royal Ann Dr Union City, CA 94587",concrete,,,,,,,This skatepark is located right next to a police station,,,,,,,"rails, stairs, ledges, quarterpipes, metal coping"
,upland,california,upland,4,"1323 E San Bernardino Rd Upland, CA 91786",concrete,purkiss rose,california skateparks,,,13000,,,,,,,,,"rails, ledges, stairs, banks, bowl, fullpipe, metal coping"
,vacaville,california,vacaville,2,"1104 Alamo Dr Vacaville, CA 95687",concrete,,,,,,,,,,,,,,"rail, ledges, banks, quarterpipes, metal coping"
wardlaw skatepark,vallejo,california,vallejo,3,"1805 Ascot Pkwy Vallejo, CA 94591",concrete & prefabricated ramps,site design,,,Dawn - Dusk,6884,,,,,,,,,"miniramp, pyramid, rails, bowl, quarterpipes, metal coping"
valley center skate spot,valley center,california,valley center,4,"28146 Lilac Rd Valley Center, CA 92082",concrete,,,,,,,This is a DIY skatepark,,,,,,,"quarterpipes, barrier, spine, rail, ledges, pole jam, metal coping, pool coping"
,venice,california,venice,4,1800 Ocean Front Walk Venice Beach Ca,concrete,wormhoudt inc.,california skateparks,,,16000,,,,,,,,,
hobert,ventura,california,ventura,3,"Telegraph Rd & Cambria Ave Ventura, CA 93004",concrete,,,,,,,,,,,,,,"bowl, wallride, rail"
pacific,ventura,california,ventura2,2,"Dean Dr & Chapel Dr Ventura, CA 93003",concrete,,,,,,,,,,,,,,"bowl, ledges"
westpark,ventura,california,ventura3,2,"450 W Harrison Ave Ventura, CA 93001",concrete,,,,,,,,,,,,,,"bowl, ledges, wallride, fun box, rail"
provident skatepark,visalia,california,visalia,3,"345 N Jacob St Visalia, CA 93291",concrete,,,,6am - 10pm,24000,,,,yes,,,,,"pyramid, bowl, ledges, rail, quarterpipes, hips, banks, metal coping"
aura skatepark,vista,california,vista2,4,"1074 La Mirada Ct Vista, CA 92081",wood/masonite,jim bell,jim bell,2007,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required",,,yes,,,,,"bowl, quartperipes, pyramid, quarterpipes, rails, ledges, metal coping, pool coping"
,walnut creek,california,walnut creek,3,"Marchbanks Dr & Heather Dr Walnut Creek, CA 94598",concrete,,,,Lights til 9pm,,,,,yes,,,,,"pyramid, stairs, ledges, rail, bowl, quarterpipes, metal coping"
,wasco,california,wasco,,"679 Parkside Dr, Wasco, CA 93280",concrete,,,,,,,,,,,,,,
ramsay park,watsonville,california,watsonville,2,"30 Harkins Slough Rd Watsonville, CA 95076",prefabricated ramps,,,,,,,,,,,,,,"miniramp, pyramid, rails, spine, metal coping"
,weed,california,weed,3,"1299 Railroad Ave Weed, CA 96094",concrete,,,,,,,,,,,,,,"bowl, ledges, rail, lumps, quarterpipes"
orangewood skatepark,west covina,california,west covina,3,"1615 W Merced Ave West Covina, CA 91790",concrete,,,,,,,,,yes,,,,,"pyramids, rails, ledges, quarterpipes, stairs, double set, metal coping"
,westlake village,california,westlake village,3,"31107 Thousand Oaks Blvd Westlake Village, CA 91362",concrete,spohn ranch,spohn ranch,2015,,,,,,,,,,,"bowl, quarterpipes, hips, gap, ledges, rails, metal coping"
liberty skatepark,westminster,california,westminster,,"13900 Monroe St Westminster, CA 92683",concrete,purkiss rose,california skateparks,,,10000,,,,,,,,,
,whittier,california,whittier,,"7630 Washington Ave Whittier, CA 90602",concrete,purkiss rose,california skateparks,,,9000,,,,,,,,,
,willits,california,willits,4,"1022 E Commercial St Willits, CA 95490",concrete,wormhoudt inc.,wormhoudt inc.,2004,,18500,,,,,,,,,"stairs, rails, ledges, quarterpipes, metal coping"
ambassador skatepark,wilmington,california,wilmington,2,"325 Neptune Ave Wilmington, CA 90744",concrete,spohn ranch,spohn ranch,2008,,10000,,,,,,,,,
pat elsbree skatepark,windsor,california,windsor,3,"9500 Brooks Rd S Windsor, CA 95492",concrete,,,,8:30am - Dusk,,,,,,,,,,"rail, pyramid, ledges, bowl quarterpipes, metal coping"
,yreka,california,yreka,1,"W Miner St & S West St Yreka, CA 96097",prefabricated ramps,,,,,,,,,,,,,,
,yuba city,california,yuba city,3,"810 Gray Ave Yuba City, CA 95991",concrete,wormhoudt inc.,wormhoudt inc.,1996,,14000,,,,,,,,,"quarterpipes, taco, fun box, stairs, bowl"
,yucaipa,california,yucaipa,3,"11937 13th St Yucaipa, CA 92399",concrete,,,,,,,,,,,,,,"rails, quarterpipes, ledges, pyramids, metal coping"
,yucca valley,california,yucca valley,2,"Antelope Trail & Dumosa Ave Yucca Valley, CA 92284",concrete,,,,,,,,,,,,,,
,adams,oregon,adams,3,"Morrison St & Commercial St, Adams, OR 97810",concrete,dreamland,dreamland,2006,,2500,,,,,,,,,
,albany,oregon,albany,3,"1225 SE 6th Ave, Albany, OR 97321",concrete,eric dawkins & great american skateparks,eric dawkins & great american skateparks,1999,,15000,,,,,,,,,
ashland skatepark,ashland,oregon,ashland,3,"280 Water St, Ashland, OR 97520",concrete,eric dawkins & great american skateparks,eric dawkins & great american skateparks,1999,,15000,,,,,,,,,
tapiola park,astoria,oregon,astoria,5,"Florence Ave & S Denver Ave, Astoria, OR 97103",concrete,dreamland,dreamland,,Dawn - Dusk,11000,,,,,,,,,
,athena,oregon,athena,1,"E Main St & S 1st St, Athena, OR 97813",concrete,,,,,4000,,,,,,,,,
brian haney memorial skatepark,aumsville,oregon,aumsville,5,"1115 Main St, Aumsville, OR 97325",concrete,dreamland,dreamland,2000,24 Hours,8000,,,,yes,,,,,
sam-o skate park,baker city,oregon,baker city,2,"500 Baker St, Baker City, OR 97814",concrete,city of baker city,,,,6000,,,,,,,,,
,bay city,oregon,bay city,3,"4th St & A St, Bay City, OR 97107",concrete,dreamland,dreamland,2007,,6000,,,,,,,,,
evelyn schiffler park,beaverton,oregon,beaverton,3,"13550 SW Berthold Ave, Beaverton, OR 97005",concrete,dreamland,dreamland,2012,,4500,,,,,,,,,
tualatin hills park,beaverton,oregon,beaverton2,3,"NW Schlottman Pl, Beaverton, OR 97006",concrete,grindline,grindline,1998,,18000,,,,,,,,,
ponderosa park,bend,oregon,bend,2,"225 SE 15th St, Bend, OR 97702",concrete,wormhoudt inc.,wormhoudt inc.,1997,,11500,,,,,,,,,
,boardman,oregon,boardman,2,"198 3rd St NE, Boardman, OR 97818",prefabricated ramps,,,,,,,,,,,,,,
bud cross skatepark,brookings,oregon,brookings,4,"Hassett St & 3rd St, Brookings, OR 97415",concrete,dreamland,dreamland,2001,,10000,,,,,,,,,
hines skatepark,burns,oregon,burns,1,"US-20 & N Circle Dr, Burns, OR 97738",wood/masonite,,,,,,,,,,,,,,
,canby,oregon,canby,2,"1175 NW 3rd Ave, Canby, OR 97013",concrete,,buzzy morales construction,,,11000,,,,,,,,,
,cannon beach,oregon,cannon beach,3,"Spruce St & W 2nd St, Cannon Beach, OR 97110",concrete,placed to ride,placed to ride,2008,,6000,,,,,,,,,
jubilee park,cave junction,oregon,cave junction,3,"S Junction Ave & E Watkins St, Cave Junction, OR 97523",concrete,grindline,grindline,2014,,,,,,,,,,,
joel tanzi skatepark,cenral point,oregon,cenral point,2,"403 S 4th St, Central Point, OR 97502",concrete,purkiss rose,purkiss rose,2005,,6500,,,,,,,,,
d-block indoor skatepark,clakamas,oregon,clackamas,3,"8921 SE Jannsen Rd, Clackamas, OR 97015",wood/masonite,,,,,,,"This is a private, indoor skatepark.  It costs money to skate and a helmet/pads are required if you are under 18",,,,,,,
,clatskanie,oregon,clatskanie,2,"610 NE 5th St, Clatskanie, OR 97016",concrete,,,,,10000,,This skatepark requires a helmet/pads to skate,,,,,,,
mingus park,coos bay,oregon,coos bay,4,"N 8Th St & Commercial Ave, Coos Bay, OR 97420",concrete,liquid stone designs,liquid stone designs,2009,,8000,,,,,,,,,
,corbett,oregon,corbett,1,"35800 Historic Columbia River Hwy, Corbett, OR 97019",concrete,,,,,,,Don't bother,,,,,,,
eric scott mckinley skatepark,corvallis,oregon,corvallis,2,"SW 2nd St & Sw B Ave, Corvallis, OR 97333",concrete,,buzzy morales construction,2000,8am - 10pm,14000,,,,,,,,,
,cottage grove,oregon,cottage grove,1,"714 S Goshen-Divide Hwy, Cottage Grove, OR 97424",concrete,,,2004,,5000,,,,,,,,,
,dallas,oregon,dallas,3,"SE Lacreole Dr & SE Barberry Ave, Dallas, OR 97338",concrete,,,,,,,,,,,,,,
,donald,oregon,donald,4,"Donald Rd NE & Matthieu St NE, Donald, OR 97020",concrete,dreamland,dreamland,2001,,2500,,,,,,,,,
,echo,oregon,echo,3,"Bridge St & S Front St, Echo, OR 97826",concrete,grindline,grindline,,9am - 8pm,,,,,,,,,,
,enterprise,oregon,enterprise,1,"OR-82 & E 4th St, Enterprise, OR 97828",prefabricated ramps,,,,,,,,,,,,,,
wade creek park,estecada,oregon,estecada,4,"747 Nw Wade St, Estacada, OR 97828",concrete,dreamland,dreamland,2012,,10000,,,,,,,,,
amazon park,eugene,oregon,eugene,1,"Amazon Pkwy & E 29th Ave, Eugene, OR 97405",concrete,,,1991,,,,,,,,,,,
bethel skatepark,eugene,oregon,eugene2,3,"Jeffrey Way & Haviture Way, Eugene, OR 97402",concrete,airspeed skateparks,airspeed skateparks,2002,,8000,,,,,,,,,
cal young park,eugene,oregon,eugene3,2,"2700 Gilham Rd, Eugene, OR 97408",concrete,,,2001,,6000,,,,,,,,,
churchil skatepark,eugene,oregon,eugene4,3,"2002 Bailey Hill Rd, Eugene, OR 97405",concrete,eric dawkins & great american skateparks,eric dawkins & great american skateparks,2000,,8500,,,,,,,,,
emerald skatepark,eugene,oregon,eugene5,2,"1400 Lake Dr, Eugene, OR 97404",concrete,,,,,5000,in progress,,,,,,,,
trainsong skatepark,eugene,oregon,eugene7,1,"2771 Edison St, Eugene, OR 97402",prefabricated ramps,,,2003,,4000,,,,,,,,,
washington jefferson skatepark,eugene,oregon,eugene8,5,"158 Jefferson St, Eugene, OR 97402",concrete,dreamland,dreamland,2014,6am - 1am,23000,,,,yes,,,,,
