name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
Etnies Skatepark,Lake Forest,CA,,Site Design,California Skateparks,December 2003 (expansion August 2011),20028 Lake Forest Drive Lake Forest CA 92630,Mon - Thurs 11am-9pm Friday 11am-10pm Sat 10am-10pm Sun 10am-9pm,,,yes
Vandenberg Skatepark,Lompoc,CA,,California Skateparks,California Skateparks,,H St. & E. Central Ave. Lompoc CA. 93436,,7000,,
El Dorado Skatepark,Long Beach,CA,,Purkiss Rose,California Skateparks,2000,2800 Studebaker Road Long Beach CA 90804,,12000,,yes
Belvedere Skatepark,Los Angeles,CA,4,Lawrence R. Moss & Associates,,2007,4914 East Cesar E Chavez Avenue Los Angeles CA 90022,10am-9pm,19000,lights,
Charmette Bonpua Skate Plaza,Los Angeles,CA,,California Skateparks,California Skateparks,,5001 Rodeo Rd Los Angeles CA,,,,
Hollenbeck Skate Plaza,Los Angeles,CA,,California Skateparks,California Skateparks,,415 Saint Louis Street Los Angeles CA 90033,,13000,,
Imperial Court Skate Plaza,Los Angeles,CA,,California Skateparks,California Skateparks,,2250 W. 114th St. Los Angeles CA 90059,,5300,,
Lafayette Skate Plaza,Los Angeles,CA,,California Skateparks,California Skateparks,,625 South Lafayette Park Place Los Angeles CA 90057,,10000,,
Lincoln Park,Los Angeles,CA,,Lance Mountain and California Skatepark,California Skateparks,,3501 Valley Blvd Los Angeles CA 90031,,9000,,
Nickerson Gardens,Los Angeles,CA,,California Skateparks,California Skateparks,,11251 Compton Ave. Los Angeles CA 90059,,5100,,
Stoner Skate Plaza,Los Angeles,CA,,California Skateparks,California Skateparks,,1835 Stoner Ave. Los Angeles CA 90025,9am -9pm,20500,,
Westchester Skate Plaza,Los Angeles,CA,,California Skateparks,California Skateparks,,7000 W Manchester Ave Los Angeles CA 90045,lights,13000,,
Volcom Brothers Skatepark,Mammoth,CA,,Grindline,Grindline,,,,,,
,Mariposa,CA,,Wally Holliday,California Skateparks,,4998-County Park Road Mariposa CA 95338,,8000,,
,Menlo Park,CA,,,,,,,,,
,Merrill Ranch,CA,,,California Skateparks,,,,,,
,Mission Valley,CA,,,California Skateparks,,,,,,
