skatepark_id,city,state,address,latitude,longitude
222,los angeles (sunland-tujunga),california,"Foothill Blvd & Fenwick St, Los Angeles, CA 91040",34.261098,-118.323938
223,los angeles (venice),california,"1500 Ocean Front Walk, Venice, CA 90291",33.98718,-118.475567
224,los angeles (watts),california,"Monitor Ave & E 114th St, Los Angeles, CA 90059",33.931466,-118.239838
225,los angeles (watts),california,"10950 S Central Ave, Los Angeles, CA 90059",33.936078,-118.252305
226,los angeles (wilmington),california,"424 Bay View Ave, Los Angeles, CA 90744",33.774444,-118.269525
227,los osos,california,"2180 Palisades Ave, Los Osos, CA 93402",35.312157,-120.835663
228,loyalton,california,"111 Beckwith Rd, Loyalton, CA 96118",39.681071,-120.249322
229,lynwood,california,"11301 Bullis Rd Lynwood, CA 90262",33.92699,-118.199836
230,madera,california,"3656 N Gateway Dr Madera, CA 93637",36.971355,-120.071215
231,mammoth,california,"1390 Meridian Blvd Mammoth Lakes, CA 93546",37.640398,-118.949073
232,manteca,california,"215 Elm Ave, Manteca, CA 95336",37.80025,-121.224756
233,marina,california,"304 Hillcrest Ave, Marina, CA 93933",36.678436,-121.796428
234,mariposa,california,"4998-County Park Rd, Mariposa, CA 95338",37.482872,-119.965439
235,martinez,california,"243 N Court St, Martinez, CA 94553",38.022352,-122.135523
236,maywood,california,"5515 S Maywood Ave, Maywood, CA 90270",33.992369,-118.203926
237,menlo park,california,"700 Alma St, Menlo Park, CA 94025",37.4522,-122.177357
238,merced,california,"2579 P St, Merced, CA 95340",37.312388,-120.483895
239,mill valley,california,"425 Sycamore Ave, Mill Valley, CA 94941",37.897176,-122.526528
240,millbrae,california,"Poplar Ave & Millbrae Ave, Millbrae, CA 94030",37.596013,-122.391304
241,mission viejo,california,"24190 Olympiad Rd Mission Viejo, CA 92692",33.61162,-117.630017
242,modesto,california,"Sylvan Ave & Forest Glenn Dr, Modesto, CA 95355",37.689489,-120.971288
243,monrovia,california,"843 E Olive Ave, Monrovia, CA 91016",34.14504,-117.987146
244,montclair,california,"5183 Benito St, Montclair, CA 91763",34.073895,-117.692263
245,monte rio,california,"9725 Main St, Monte Rio, CA 95462",38.459773,-123.011236
246,montebello,california,"199 S Taylor Ave, Montebello, CA 90640",34.0087,-118.115986
247,monterey,california,"777 Pearl St, Monterey, CA 93940",36.59851,-121.88529
248,moorpark,california,"500 Poindexter Ave, Moorpark, CA 93021",34.284309,-118.887666
249,moraga,california,"745 Moraga Rd, Moraga, CA 94556",37.849099,-122.108345
250,moreno valley,california,"W St & 6th St, Moreno Valley, CA 92551",33.897245,-117.247311
251,morgan hill,california,"171 E Edmundson Ave, Morgan Hill, CA 95037",37.113782,-121.646842
252,morro bay,california,"231 Atascadero Rd, Morro Bay, CA 93442",35.380398,-120.857282
253,mount shasta,california,"800 Rockfellow Dr, Mt Shasta, CA 96067",41.322015,-122.299123
254,mountain view,california,"2057 Crisanto Ave, Mountain View, CA 94040",37.402418,-122.09722
255,murrieta,california,"24443 Lincoln Ave, Murrieta, CA 925623",33.573426,-117.200494
256,napa,california,"1200 West St, Napa, CA 94558",38.301822,-122.285557
