name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,beta,helmet,lights,photo_cred,video_url,num_pics,obstacles
cypress skate plaza,cypress,california,cypress,,4554 avenida granada cypress ca 90630,concrete,purkiss rose,,2003,8am - Dusk,12000,,,,,,,,
,daly city,california,daly city,,sullivan ave & 92nd st daly city ca 94015,prefabricated ramps,,,,,,,,,,,,,
,davis,california,davis,1,1405 f st davis ca 95616,concrete,,,1993,,,,,,,,,,
,delano,california,delano,,cecil ave & madison st delano ca 93215,concrete,site design,,,Dawn - Dusk,23342,,,,,,,,
,delhi,california,delhi,,shanks rd & schendel ave delhi ca 95315,prefabricated ramps,,,2006,,,,,,,,,,
,desert hot springs,california,desert hot springs,,west dr & 1st st desert hot springs ca 92240,concrete,lawrence r moss & associates,,2003,Dawn - Dusk,10000,,,,,,,,
,diamond bar,california,diamond bar,,24142 sylvan glen rd diamond bar ca 91765,concrete,purkiss rose,,,7am - Dusk,10000,,,,,,,,
,dixon,california,dixon,,hall park dr & e chestnut st dixon ca 95620,concrete,,,,,,,,,,,,,
independence park,downey,california,downey,,12334 bellflower blvd downey ca 90242,concrete,purkiss rose,,2002,,10000,,A helmet/pads are required to skate here.,,,,,,
pamela park,duarte,california,duarte,1,2236 goodall ave duarte ca 91010,prefabricated ramps,,,,,,,,,,,,,
,duarte,california,duarte2,,1401 central ave duarte ca 91010,concrete,lawrence r moss & associates,california skateparks,,Dawn - Dusk,10000,,,,,,,,
emerald glen skatepark,dublin,california,dublin,2,4201 central pkwy dublin ca 94568,concrete,,,,Dawn - Dusk,,,,,,,,,
arnold park,edwards air force base,california,edwards air force base,,,concrete,,,,,,verify,,,,,,,
kennedy skatepark,el cajon,california,el cajon,,1675 e madison ave el cajon ca 92019,concrete,purkiss rose,,2002,"Mon-Fri: 4-9, Sat: 12-9, Sun: 12-7",11000,,This skatepark costs money to skate and requires a helmet/pads,,,,,,
renette skate plaza,el cajon,california,el cajon2,,935 emerald ave el cajon ca 92020,concrete,,,,,,,,,,,,,
sidewinder skatepark,el centro,california,el centro,,770 park ave el centro ca 92243,concrete,california skateparks,,2015,,30000,update address,,,,,,,
,el dorado hills,california,el dorado hills,1,1021 harvard way el dorado hills ca 95762,prefabricated ramps,,,,,,,This skatepark costs money to skate and requires a helmet/pads,,yes,,,,
,el segundo,california,el segundo,2,405 e grand ave el segundo ca 90245,concrete,,,,"monday - friday: 11am - 9pm, saturday: 2:30pm - 10:30 pm, sunday: Noon - 5 pm",,18 & under,,,,,,,
derr-okamota park,elk grove,california,elk grove,,9550 mainline drive elk grove ca 95624,concrete,site design,,,,13300,street plaza,,,,,,,
,elk grove,california,elk grove2,,9014 bruceville rd elk grove ca 95758,concrete,wormhoudt,wormhoudt,2004,8am - Dusk,11000,special hours fee?,,,,,,,
shasta community park,elk grove,california,elk grove3,2,7407 shasta ave elk grove ca 95758,prefabricated ramps,,,,,,,,,,,,,
magdalena ecke family ymca,encinitas,california,encinitas,4,200 saxony rd encinitas ca 92024,wood & concrete,site design/team pain,,,,37000,,This skatepark costs money to skate and requires a helmet/pads,,,,,,"vert ramp, bowls, ledges, rails, pyramids, banks, metal coping, pool coping"
leucadia oaks,encinitas,california,encinitas2,,,concrete,,,,,,,,,,,,,
wheel friendly skate plaza,encinitas,california,encinitas3,,,concrete,,,,,,,,,,,,,
pedlow,encino,california,encino,,17334 victory blvd encino ca 91406,concrete,purkiss rose,california skateparks,2001,,20000,,,,,,,,
escondido sports center,escondido,california,escondido,,3315 bear valley pkwy s escondido ca,wood,ramp armor,ramp armor,,,22000,,This is a private skatepark that costs money to skate and requires a helmet/pads,,,,,,
,eureka,california,eureka,,1720 10th st eureka ca 95501,concrete,wormhoudt,,2010,,12000,,,,,,,,
allan witt rotary skatepark,fairfield,california,fairfield,3,1900 woolner ave fairfield ca 94533,concrete,,,,Dawn - Dusk,,,,,,,,,
travis air force base,fairfield,california,fairfield2,1,air base pkwy fairfield ca,prefabricated ramps,,,,,,,,,,,,,
,fallbrook,california,fallbrook,,445 e ivy st fallbrook ca 92028,wood,,,,,,,This skatepark costs money to skate and requires a helmet/pads,,,,,,
,fillmore,california,fillmore,3,river st & c st fillmore ca 93015,concrete,community works,california skateparks,,,12000,,,,,,,,
maldonado skatepark,firebaugh,california,firebaugh,,clyde fannon rd & thomas conboy ave firebaugh ca 93622,concrete,wormhoudt,clark bros construction inc ,2008,,14000,cost $767000,,,,,,,
mathy bethune skatepark,florence,california,florence,,hooper ave & e 62nd st florence-graham ca 90001,prefabricated ramps,,,,,,,,,,,,,
cummings skatepark,folsom,california,folsom,3,1775 creekside dr folsom ca 95630-3457,concrete,wormhoudt,,2003,,21000,,This skatepark costs money to skate and requires a helmet/pads,,yes,,,,
jesse turner skatepark (fontana north),fontana,california,fontana,,5553 lytle creek rd fontana ca 92336,concrete,site design,california skateparks,,mon - thurs 2pm-9pm f - 12pm-9pm sat & sun - 9am - 9pm,20000,,,,,,,,
juniper community center (fontana south),fontana,california,fontana2,,16581 filbert ave fontana ca 92336,concrete,california skateparks,california skateparks,2002,,26000,,,,,,,,
,foster city,california,foster city,,670 shell blvd foster city ca 94404,concrete,wormhoudt,,2009,,7000,,,,,,,,
,frazier park,california,frazier park,1,4001 frazier mountain park rd frazier park ca 93225,prefabricated ramps,,,,,,,,,,,,,
,fremont,california,fremont,,40000 paseo padre pkwy fremont ca 94538,concrete,wormhoudt,,,6am - 8pm,25000,,,,,,,,
cary ramp park,fresno,california,fresno,,4750 n fresno st fresno ca 93726,prefabricated ramps,,,,Dawn - Dusk,,,,,yes,,,,
kaiser ramp park,fresno,california,fresno2,,425 e alluvial ave fresno ca 93720,concrete,,,,Dawn - Dusk,,,,,,,,,
lion's den skatepark,fresno,california,fresno3,,n emerson ave & w indianapolis ave fresno ca 93705,concrete,site design,,2002,8am-10pm,30000,2002,,,,,,,
melody ramp park,fresno,california,fresno4,,5935 e shields ave fresno ca 93727,concrete,,,,Dawn - Dusk,,,,,,,,,
mosqueda bike park,fresno,california,fresno5,,e butler ave & s maple ave fresno ca 93702,concrete,,,2009,,30000,,,,,,,,
romain ramp park,fresno,california,fresno6,,745 n 1st st fresno ca 93701,concrete,,,,Dawn - Dusk,,,,,,,,,
the ark,fresno,california,fresno7,,1707 w jensen ave fresno ca 93706,concrete,,,,Dawn - Dusk,,,,,,,,,vert ramp
todd beamer skatepark,fresno,california,fresno8,,9797 n maple fresno ca 93720,concrete,wormhoudt,california skateparks,,,14000,,,,,,,,
independence park,fullerton,california,fullerton,,801 w valencia dr fullerton ca 92832,concrete,purkiss rose,,,9am - Dusk,12000,,,,,,,,
,galt,california,galt,,620 chabolla ave galt ca 95632,prefabricated ramps,,,,,,,,,,,,,
,garden grove,california,garden grove,,9301 westminster ave garden grove ca 92844,concrete,,,2010,9am - 11pm,,lights cost $95000,,,yes,,,,
arthur lee johnson memorial park,gardena,california,gardena,,1200 w 170th st gardena ca 90247,concrete,spohn ranch,spohn ranch,2012,Dawn - Dusk,7000,,,,,,,,
rowley park,gardena,california,gardena2,,13220 van ness ave gardena ca 90249,concrete,spohn ranch,spohn ranch,2012,,8000,,,,,,,,
,gilroy,california,gilroy,2,"510 mantelli dr gilroy, ca 95020",concrete,,,,,,,,,,,,,
verdugo park,glendale,california,glendale,,"1621 canada blvd glendale, ca 91208",concrete,,,,,1500,,This skatepark costs money to skate and requires a helmet/pads,,lights,,,,
,glendora,california,glendora,,160 wabash n ave glendora ca,concrete,lawrence r moss & associates,california skateparks,,,10000,,,,,,,,
,gonzales,california,gonzales,,203 1st st gonzales ca 93926,concrete,,,,,,,,,,,,,
condon park,grass valley,california,grass valley,3,butler st & minnie st grass valley ca 95945,concrete,wormhoudt,wormhoudt,2001,,23000,,,,,,,,
patriot park,greenfield,california,greenfield,3,oak ave & 13th st greenfield ca 93927,concrete,wormhoudt,wormhoudt,2002,,11000,,,,,,,,
,gridley,california,gridley,2,washington st & spruce st gridley ca 95948,prefabricated ramps,,,,,,,,,,,,,
mary laveroni park,groveland,california,groveland,,18818 main st groveland ca 95321,prefabricated ramps,,,,,,,,,,,,,
south county skatepark,grover beach,california,grover beach,2,1750 ramona ave grover beach ca 93433,concrete,,,,,,,This is a private skatepark.  It costs money and requires a helmet/pads to skate.,,,,,,
,hanford,california,hanford,,422 ford st hanford ca 93230,concrete,,,,,,,,,,,,,
,hawaiian gardens,california,hawaiian gardens,1,e 221st st & clarkdale ave hawaiian gardens ca 90716,prefabricated ramps,,,,10am-7pm,,,,,,,,,
larry guidi skatepark,hawthorne,california,hawthorne,3,12100 inglewood ave hawthorne ca 90250,concrete,,,,"Monday - Friday: 3pm - 9pm, Saturday - Sunday: 9am - 9pm",,,,,,,,,
tennyson park,hayward,california,hayward,,28146 huntwood ave hayward ca 94544,concrete,,,,,,,,,,,,,
,hayward,california,hayward2,,,concrete,,,,,,,,,,,,,
carson warner memorial skatepark,healdsburg,california,healdsburg,3,1100 grove st healdsburg ca 95448,concrete,,,2000,"Winter Hours: 8am - 5pm, Summer Hours: 8am -7pm",20000,,,,,,,,
,hermosa beach,california,hermosa beach,,710 pier avenue hermosa beach ca 90254,concrete,,,,"When Hermosa schools are in session - Monday through Friday: 3 – 7pm, Wednesdays 10 years of age or younger ONLY: 2 – 3pm, Saturday, Sunday: 12 – 7pm Hermosa school holidays, including Summer break - Monday through Sunday: 12 – 7pm",,,,,,,,,
garvanza skatepark,highland park,california,highland park,,6240 e meridian ave los angeles ca 90042,concrete,purkiss rose,california skateparks,,,20000,,,,,,,,
veterans memorial park,hollister,california,hollister,,1221 memorial dr hollister ca 95023,concrete & prefabricated ramps,,,,,,,,,,,,,
north hollywood skate plaza,hollywood,california,hollywood,,magnolia boulevard & tujunga avenue north hollywood ca 91601,concrete,california skateparks/lance mountain,california skateparks,,,15000,,,,,,,,
murdy park,huntington beach,california,huntington beach,1,7000 norma dr huntington beach ca 92647,concrete,,,,,,,,,,,,,
vans off the wall skatepark,huntington beach,california,huntington beach2,4,7471 center ave huntington beach ca 92647,concrete,california skateparks/site design,california skateparks,2014,9am – Dusk,42500,,This skatepark may have BMX sessions on Wednesdays,,,,,,
,idyllwild,california,idyllwild,2,26375 CA-243 idyllwild ca 92549,prefabricated ramps,,,,,,,,,,,,,
,imperial beach,california,imperial beach,3,425 imperial beach blvd imperial beach ca 91932,concrete,,,2010,Dawn - Dusk,,,,,,,,,
,indio,california,indio,,,concrete,,,,,,"no info, call & check?",,,,,,,
darby skatepark,inglewood,california,inglewood,2,3400 w arbor vitae st inglewood ca 90305,prefabricated ramps,,,,,,,,,,,,,
rogers park skatepark,inglewood,california,inglewood2,1,400 West beach ave inglewood ca 90302,prefabricated ramps,,,,,,,,,,,,,
vincent park skatepark,inglewood,california,inglewood3,1,700 warren ln inglewood ca 90302,prefabricated ramps,,,,,,,,,,,,,
,ione,california,ione,3,w plymout hwy & ca-124 ione ca 95640,concrete,wormhoudt,wormhoudt,2005,Dawn - Dusk,7500,,,,,,,,
mariners church/harvard skatepark,irvine,california,irvine,,5001 newport coast drive irvine ca 92603,concrete,wormhoudt,california skateparks,2008,,6000,,,,,,,,
,irwindale,california,irwindale,3,5051 n irwindale ave irwindale ca 91706,concrete,,,,6am-Dusk,,,,,,,,,
jess martin park,julian,california,julian,1,2949 ca-79 julian ca 92036,prefabricated ramps,,,,,,,,,,,,,
,king city,california,king city,1,san antonio dr & bedford ave king city ca 93930,prefabricated ramps,,,,,,,,,,,,,
